Method,Precision@5,Recall@5,MAP,nDCG@5,Mean_Satisfaction,Mean_Revenue,Run
IMOHAG (HASMO),0.5916666666666667,0.173742342977065,0.5852517341426932,0.6018721456027353,0.8001122836381436,82.50174215749098,8
Random,0.43333333333333335,0.12627230178787652,0.4851504683086867,0.4369835135301225,0.48876361358730447,82.96983824951234,9
Relevance-Only,0.6066666666666667,0.17726525098503826,0.5817231318521033,0.618016374383902,0.6680727502278689,81.67338890316174,9
Revenue-Driven,0.4316666666666667,0.12433324880307174,0.472529286262119,0.4429107507166897,0.48898276923934786,188.5228420675524,9
Static-Weighted-Sum,0.6083333333333333,0.1768467259415216,0.5814976711241329,0.6101434719358657,0.7960188225461556,78.3302879904629,9
Popularity-Based,0.445,0.12972186182227738,0.4903706401212309,0.4472509975582278,0.5080610218287098,52.10732286517645,9
Content-Based,0.5066666666666666,0.1483077426133254,0.5401763035048652,0.49670360990917456,0.5383852265397215,89.80665571955505,9
IMOHAG (HASMO),0.5916666666666667,0.1711036068782215,0.5777369738077058,0.5968487664541918,0.8006106622288306,89.55495502176709,9
Random,0.375,0.11746033471459168,0.44230400799676334,0.38409677959632715,0.4077063435320607,90.3280636552673,10
Relevance-Only,0.5766666666666667,0.1834351034099486,0.5508029273328785,0.5932707345808433,0.6280279345007533,90.41858358178888,10
Revenue-Driven,0.4216666666666667,0.13162522283071817,0.46603290377548856,0.45171603522651604,0.5504670625137102,162.8950944626287,10
Static-Weighted-Sum,0.5683333333333334,0.18047577107561627,0.5440198339348713,0.5804922694101471,0.7710253912478763,95.95424469821091,10
Popularity-Based,0.385,0.12008959596904643,0.44913748586200164,0.4219126734003416,0.48277403843386674,108.64427695865774,10
Content-Based,0.48500000000000004,0.15356980294673794,0.5085768506175987,0.47752842820024066,0.4237978886523466,84.63698841878654,10
IMOHAG (HASMO),0.5666666666666667,0.1788389348296469,0.5480624128752798,0.5897012378285444,0.7814485016879289,108.40383684580857,10
Random,0.4316666666666667,0.1262056931576298,0.47648424038211556,0.4335526062598163,0.4468003667526665,89.98866911734311,11
Relevance-Only,0.5983333333333333,0.17627813547696775,0.5800160008073495,0.6060867003132685,0.6203213674092034,96.63243053285154,11
Revenue-Driven,0.39333333333333337,0.1168974104228681,0.47009371456903976,0.3538455128391751,0.34948657185078724,172.67646270825804,11
Static-Weighted-Sum,0.575,0.16861235949971815,0.5783868201398995,0.5854566267286337,0.7742688985514384,102.87577349825136,11
Popularity-Based,0.4816666666666667,0.1432605363893222,0.5106809807367407,0.5096232407916184,0.6068288600272191,103.4997722825308,11
Content-Based,0.5216666666666667,0.15516074340381952,0.5287898450501698,0.5188198611455254,0.483308922397102,82.26072132091035,11
IMOHAG (HASMO),0.5850000000000001,0.1719098271034938,0.5801218659019275,0.5964538449009,0.7790034223386144,105.43416356482568,11
Random,0.4233333333333334,0.12359267859065946,0.4698887865669507,0.417548938835,0.46404819961813004,82.38436397657112,12
Relevance-Only,0.6133333333333333,0.18086902908198674,0.5902902240006223,0.6248979525011672,0.6060571003761134,86.62405198367449,12
Revenue-Driven,0.46,0.13581530206580686,0.4615834076112208,0.41028265050792523,0.38534191475585405,179.17855929321001,12
Static-Weighted-Sum,0.6016666666666667,0.17538181749183399,0.5768180214951021,0.6093414398869437,0.7858837746656021,85.91072975813067,12
Popularity-Based,0.4066666666666667,0.12162091361541995,0.47072390124230995,0.40689842845218294,0.4430271403081236,76.04166459948756,12
Content-Based,0.5433333333333333,0.1625758539855323,0.5530102709537317,0.5557990124457096,0.5491226692234292,85.19772183963623,12
IMOHAG (HASMO),0.5983333333333333,0.17539458176530795,0.5748942318201955,0.6052826206452456,0.788257054960809,91.73200242028463,12
Random,0.44333333333333336,0.1229097268160988,0.49078541954445143,0.4377149277130486,0.48647384570729935,84.29154599345568,13
Relevance-Only,0.65,0.18263301604911344,0.605086726558349,0.6491827938385931,0.6350943186210968,88.38476710337855,13
Revenue-Driven,0.5216666666666667,0.14524756689644291,0.5283758702905401,0.5418915691051289,0.5895830232707426,160.38444921774686,13
Static-Weighted-Sum,0.635,0.17865661974434183,0.6002853499259435,0.6424870094877064,0.7730554484336162,83.90105378589601,13
Popularity-Based,0.405,0.1114245881911197,0.4839477179342632,0.3774146293596495,0.44072937322353967,79.7686153155261,13
Content-Based,0.5366666666666667,0.15065099893370018,0.567741115461624,0.544593522568334,0.535503510620779,74.53583878676231,13
IMOHAG (HASMO),0.625,0.17496190596139277,0.5983730826460546,0.6339612472128915,0.7785489835016627,100.36322669408996,13
Random,0.45666666666666667,0.1316027157562105,0.48920080871249455,0.44430873840167934,0.4883826545616718,83.38232367084917,14
Relevance-Only,0.61,0.17738794762387272,0.5947531292168854,0.6200203966406175,0.6713665441336294,78.40405006399233,14
Revenue-Driven,0.4966666666666667,0.14464880961221319,0.4971091617522028,0.48967021904426555,0.4552917994029815,170.00913860456654,14
Static-Weighted-Sum,0.6633333333333334,0.19227606372734415,0.6032674575937255,0.6643195127888814,0.7993460526581732,74.91697904015757,14
Popularity-Based,0.435,0.124504360930495,0.5089265203041962,0.473878700869362,0.5733505229216532,99.81342976767822,14
Content-Based,0.5416666666666666,0.15579637208311997,0.5567828808884826,0.5362816328504187,0.519578431470513,90.46280225817047,14
